331197478571816, 419588808460341, 308994415019000 @ -91, -24, -6
330866855164228, 209537825210093, 231185943543128 @ -150, -212, 72
328989866463373, 203709410146568, 262849170484878 @ -105, 72, -7
231834394469732, 93189176593161, 440265961238428 @ 50, 315, -239
278604695259636, 333958305417908, 213735598362658 @ 34, -326, 121
309178963923996, 154974454192289, 239566456910847 @ 10, -35, -10
314911993188598, 431909804031529, 263788657919382 @ -73, -215, 20
466494146694868, 408627100057213, 377911552080153 @ -318, -191, -166
218868631041947, 282017930176092, 210285072168131 @ 115, -38, 112
310581719228680, 143497051406425, 235960869715068 @ 20, 17, 11
290561547963936, 262309234710127, 256044911885116 @ -20, -22, 19
329596278591676, 234083430680617, 297618259938492 @ -107, -8, -96
278526934431232, 337079660291621, 295419397973852 @ 6, -183, -65
189890296114417, 179015572024965, 135414476214217 @ 81, 201, 190
249541145328072, 520365120654784, 184991465960146 @ -10, -124, 117
216223506991339, 371677631403715, 358526761210614 @ 71, -93, -115
323855008930129, 286862419599879, 235206098518482 @ -87, 15, 65
310538271311878, 338599533323418, 194858814995523 @ -60, -242, 158
348224263467355, 261637864413773, 303260436080684 @ -135, 9, -65
321683767764618, 175966592206863, 259894655468958 @ -95, 24, -64
343993250757898, 351264535701116, 283168005629568 @ -108, 6, 11
289221802256383, 429641739863593, 263026313525898 @ -47, -59, 37
308101817235764, 279019046716025, 183915047302864 @ -62, 21, 147
319225945052508, 138375169549613, 291518583634828 @ -82, 219, -141
372087777574468, 281858384933233, 242702722400268 @ -178, -23, 50
314422788737589, 132767369885491, 238202315368618 @ -19, 131, -39
126272771766250, 171163501386697, 15404835333551 @ 216, 197, 402
303867887720968, 410071000835863, 211451111726208 @ -58, -133, 99
318910997533499, 468611225037133, 242844173521142 @ -79, -151, 57
337521203403244, 324966997793465, 191693268408457 @ -102, 21, 120
290870407080268, 212152928569033, 190675851373188 @ 112, -345, 355
260746047436776, 288955999780002, 152219577741455 @ 214, -570, 474
163017555358402, 379655339912083, 378369371187996 @ 95, -16, -93
233568373481356, 368363930266881, 110128996531012 @ 21, -17, 213
302384172461193, 332145243059234, 233876469811072 @ -53, -62, 67
289899623517183, 171285693017158, 238284608531263 @ 89, -10, 30
308200350597668, 171415193911433, 235319623087028 @ -38, 78, 55
247790721293004, 339374882043765, 246795142410444 @ 86, -233, 35
164585196688084, 229265960235983, 287100591693526 @ 90, 154, 10
188132539253044, 180342488222753, 283507190096588 @ 84, 199, 6
313330201405628, 253679749297361, 471304679405844 @ -73, 133, -181
204282103491236, 283767406627297, 335275803955572 @ 106, 11, -97
365507214549349, 491796932287123, 361358562784584 @ -167, -421, -173
329695716694936, 193816275262921, 280131073705389 @ -162, -235, -282
281083323889059, 360793701899023, 425501707836788 @ -17, -121, -249
158892836071597, 366815751472018, 253497882710166 @ 109, -16, 45
213764687848339, 239306247664945, 25000170639387 @ 241, -83, 702
325364209117108, 435483484049905, 145538827002756 @ -88, -159, 189
276132577469801, 433567366348501, 93861278690980 @ 5, -343, 343
356585763245712, 486849366355517, 443084907280550 @ -116, -89, -138
319981948110538, 164087866014790, 220773748867116 @ -88, 58, 127
182198409828161, 357960789218767, 309287775488926 @ 65, 23, -11
237019037054328, 126669416112403, 271485706768063 @ 118, 263, -26
228304530086234, 269090445244055, 267811335912902 @ 124, -57, -11
117069719009499, 62121162773694, 157254180402148 @ 139, 336, 151
247576865486350, 262227890258344, 270205886200773 @ 40, 38, 6
304530618798868, 193966782859138, 210457889542158 @ -30, 22, 145
179878433235932, 418946951628501, 121357512994812 @ 118, -149, 227
294020625493696, 257086494650035, 341728345610886 @ 16, -250, -360
188108439394184, 367124351648801, 41214311894048 @ 151, -159, 406
312220823994436, 141064210488205, 237539239413075 @ 18, -7, -30
103429181089434, 257736733508054, 87163120363876 @ 184, 106, 247
304705408852603, 348172200054254, 326846851856545 @ -63, 18, -36
251942832632778, 174380409126923, 161558849965608 @ 121, 118, 281
217589410981576, 426677523315935, 331864917147600 @ 24, -38, -31
272631235944748, 280771052813593, 290629373081780 @ 57, -196, -105
282063364738412, 372485786178553, 323866624007068 @ -41, 14, -24
296130749334781, 297429137819866, 385084730816517 @ -51, 56, -118
246875180878223, 337834904504848, 183060523174194 @ 37, -76, 149
262222200625956, 97059051912749, 115059710211296 @ 130, 370, 504
296729329822504, 260943822339059, 306547882224346 @ 24, -384, -288
341866884173767, 208264870251837, 251004383045955 @ -147, 25, 14
343263161367794, 505745484621265, 209503300975767 @ -116, -307, 104
315940002602614, 236036437388521, 222042652268674 @ -72, -43, 97
304142294488924, 273184532653333, 257992621685292 @ -34, -201, -13
293539547315653, 493202515103393, 159197167996373 @ -45, -227, 168
302816714425384, 364922721210763, 351896960039610 @ -32, -456, -292
